protocol,train_mode,test_mode,outer_fold,metrics_path,accuracy,precision,recall,specificity,f1,roc_auc,n_rows,threshold,tn,fp,fn,tp
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_004,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_004/unbalanced_20_80/metrics.json,0.8485527544351074,0.5763807285546416,0.9159663865546218,0.8316993464052288,0.7075369635773531,0.9487552373890733,10710,0.8737754821777344,7126,1442,180,1962
patient,unbalanced_20_80,balanced_50_50,outer_fold_005,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_005/balanced_50_50/metrics.json,0.6861888111888111,0.6329588014981273,0.8863636363636364,0.486013986013986,0.7385287691187181,0.779589619296787,2288,0.03930693492293358,556,588,130,1014
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_005,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_005/unbalanced_20_80/metrics.json,0.5512237762237763,0.2938278759779774,0.8863636363636364,0.4674388111888112,0.4413492927094667,0.7749523204068659,5720,0.03930693492293358,2139,2437,130,1014
patient,unbalanced_20_80,balanced_50_50,outer_fold_006,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_006/balanced_50_50/metrics.json,0.9180900621118012,0.9846984698469847,0.8493788819875776,0.9868012422360248,0.9120466861192164,0.9714114822441264,5152,0.8704920411109924,2542,34,388,2188
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_006,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_006/unbalanced_20_80/metrics.json,0.9583850931677018,0.9366438356164384,0.8493788819875776,0.9856366459627329,0.8908794788273615,0.9709731574724644,12880,0.8704920411109924,10156,148,388,2188
patient,unbalanced_20_80,balanced_50_50,outer_fold_007,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_007/balanced_50_50/metrics.json,0.737144420131291,0.8307897748950782,0.5955962800875274,0.8786925601750547,0.6938027720248527,0.8214178795894401,14624,0.16238361597061157,6425,887,2957,4355
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_007,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_007/unbalanced_20_80/metrics.json,0.8259418216499762,0.5602836879432624,0.6027658559847401,0.8817358130662851,0.5807489087985297,0.8239967558168912,10485,0.16238361597061157,7396,992,833,1264
patient,unbalanced_20_80,balanced_50_50,outer_fold_008,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_008/balanced_50_50/metrics.json,0.6024816176470589,0.5578920041536864,0.9875919117647058,0.21737132352941177,0.7130059721300598,0.9817496435040011,4352,0.06059504300355911,473,1703,27,2149
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_008,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_008/unbalanced_20_80/metrics.json,0.37224264705882354,0.24005808757819483,0.9875919117647058,0.21840533088235295,0.38623292595255215,0.9820742755612701,10880,0.06059504300355911,1901,6803,27,2149
patient,unbalanced_20_80,balanced_50_50,outer_fold_009,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_009/balanced_50_50/metrics.json,0.9308238636363636,0.9656125268652134,0.8934659090909091,0.9681818181818181,0.9281392946731591,0.9731607534865703,7040,0.5427568554878235,3408,112,375,3145
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_009,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_009/unbalanced_20_80/metrics.json,0.9547159090909091,0.8816932996916176,0.8934659090909091,0.970028409090909,0.8875405672357837,0.9738485843879132,17600,0.5427568554878235,13658,422,375,3145
patient,unbalanced_20_80,balanced_50_50,outer_fold_010,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_010/balanced_50_50/metrics.json,0.9566703417861081,0.9754361799816346,0.9369349503858876,0.9764057331863285,0.9557979979754808,0.9805688209673871,9070,0.7239347100257874,4428,107,286,4249
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_010,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_010/unbalanced_20_80/metrics.json,0.9675198587819948,0.9079965606190885,0.9320388349514563,0.9763901147396293,0.9198606271777003,0.9809536227232608,5665,0.7239347100257874,4425,107,77,1056
patient,unbalanced_20_80,balanced_50_50,outer_fold_011,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_011/balanced_50_50/metrics.json,0.5435940748440748,0.7738775510204081,0.12318087318087319,0.9640072765072765,0.2125322273287748,0.6406213446599687,15392,0.3281696140766144,7419,277,6748,948
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_011,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_011/unbalanced_20_80/metrics.json,0.7952830188679245,0.45724572457245727,0.12611717974180736,0.9625744786494538,0.19770383343062856,0.6442416737258259,20140,0.3281696140766144,15509,603,3520,508
patient,unbalanced_20_80,balanced_50_50,outer_fold_012,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_012/balanced_50_50/metrics.json,0.548110465116279,0.7598116169544741,0.14069767441860465,0.9555232558139535,0.23742948246259504,0.45553872025419145,6880,0.38706278800964355,3287,153,2956,484
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_012,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_012/unbalanced_20_80/metrics.json,0.795,0.45920303605313095,0.14069767441860465,0.9585755813953488,0.2153983088562528,0.45809670134194164,17200,0.38706278800964355,13190,570,2956,484
patient,unbalanced_20_80,balanced_50_50,outer_fold_013,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_013/balanced_50_50/metrics.json,0.3944099378881988,0.20044052863436124,0.07065217391304347,0.718167701863354,0.10447761194029852,0.20450539620385014,2576,0.12382567673921585,925,363,1197,91
